BOR;AN;FI;FI_EJ;PSY_A22;PSY_A23;PSY_A24;PSY_A25;PSY_A26;PSY_A27;PSY_A28;PSY_B23;PSY_B24;PSY_B25;PSY_B26;PSY_B27;PSY_B28;PSY_C22;PSY_C23;PSY_C24;PSY_C25;PSY_C26;PSY_C27;PSY_C28;PSY_D22;PSY_D23;PSY_D24;PSY_D25;PSY_D26;PSY_D27;PSY_D28;PSY_E22;PSY_E23;PSY_E24;PSY_E25;PSY_E26;PSY_E27;PSY_E28;PSY_A38;PSY_B38;PSY_A39;PSY_B39;PSY_A40;PSY_B40;PSY_A41;PSY_B41;PSY_A42;PSY_B42;PSY_A43
PSY2;2019;010000495;010783009;15288;79;11;0;26;488;159;86;8;;44;428;167;55716;5683;1938;;341;18867;3851;9034;59;;;;283;86;157938;961;39;;34;3215;307;1;4.14;1;10.3;0;;0;;0;;0
PSY2;2019;010010171;010011559;446;;;;;;;;;;;;;27781;;;;;;;4634;;;;;;;;;;;;;;0;;0;;0;;0;;0;;0
PSY2;2019;020000386;020000600;939;;;;;0;0;;;;;0;0;30795;;;;;0;0;0;;;;;0;0;0;;;;;0;0;0;;0;;0;;0;;0;;0
PSY2;2019;020000543;020000295;1586;101;2;1;40;214;136;101;2;1;62;260;162;120582;5867;730;15;514;9126;4165;19160;9;0;0;0;0;0;162621;2004;31;0;1139;1830;807;1;5;1;1;0;0.5;1;1;0;;0
PSY2;2019;020004156;590805065;484;;;;;;;;;;;;;20293;;;;;;;4002;;;;;;;;;;;;;;0;;1;13.24;0;;0;;0;;0
PSY2;2019;020006664;020000063;3286;28;0;0;0;68;62;209;0;0;0;130;153;12366;2008;0;0;0;1859;2829;10654;200;0;0;0;559;422;24292;3;0;0;0;1;0;1;1.5;1;1.5;0;;0;;0;;0
PSY2;2019;030000061;030780092;4677;25;0;5;23;119;14;20;0;7;26;130;13;43269;1794;0;160;346;6081;472;12658;182;0;5;2;454;84;48527;217;0;7;0;426;28;1;5.71;1;38.34;1;47.23;0;;0;;0
PSY2;2019;030000087;030780118;3301;34;;;;203;5;9;;;;139;11;24673;893;;;;7970;99;8783;0;;;;707;7;56542;266;;;;1365;61;0;;1;33.04;1;2.3;0;;0;;0
PSY2;2019;030000160;030780282;881;;;;;;;;;;;;;127688;;;;;;;0;;;;;;;27639;;;;;;;0;;1;1.3;0;;0;;0;;0
PSY2;2019;030781637;030780100;206;12;;2;;128;;91;;2;;171;;8188;558;;;;2817;;7232;283;;;;504;;56414;1504;;96;;4987;;1;0.5;1;18.43;1;3.51;0;;0;;0
PSY2;2019;040000911;040788879;6513;45;1;;3;199;109;38;3;;2;141;74;23202;2005;1061;;239;6592;2970;19499;446;64;;10;240;418;73882;416;;;;1170;569;1;;1;29.37;1;18.07;0;;0;;0
PSY2;2019;050000132;050007145;994;8;1;;;38;47;9;1;;;42;52;21890;539;7;;;1842;2164;5584;160;;;;72;33;73335;267;152;;;940;1706;0;;0;;0;;0;;0;;0
PSY2;2019;050000231;050000116;986;;;;;;;;;;;;;6544;;;;;;;3220;;;;;;;15154;;;;;;;;;;;;;0;;0;;0
PSY2;2019;050000454;050000645;78;;;;;;;;;;;;;9919;;;;;;;;;;;;;;;;;;;;;0;;0;;1;36;0;;0;;0
PSY2;2019;050000991;050000546;316;;;;;;;;;;;;;13386;;;;;;;;;;;;;;;;;;;;;0;;0;;0;;0;;0;;0
PSY2;2019;060000478;060780897;1597;14;4;0;1;83;6;14;4;0;1;94;6;5656;608;405;0;3;2409;92;2104;0;0;0;0;0;0;23051;66;0;0;0;265;0;0;;0;;0;;0;;0;;0
PSY2;2019;060000510;060780954;6195;61;0;0;0;189;10;29;0;0;0;172;5;17830;1773;0;0;0;4597;34;5030;137;0;0;0;91;0;42790;311;0;0;0;316;28;1;16.9;0;;0;;0;;0;;0
PSY2;2019;060000544;060780988;4048;45;2;;3;158;11;46;2;;3;186;12;12438;1674;;;6;6003;358;4837;;;;;105;;38524;707;32;;30;1673;59;1;1.64;0;;1;7.52;0;;0;;0
PSY2;2019;060780442;060000213;564;;;;;;;;;;;;;19278;;;;;;;;;;;;;;;;;;;;;0;;0;;0;;0;;0;;0
PSY2;2019;060780525;060000247;636;;;;;;;;;;;;;21986;;;;;;;;;;;;;;;;;;;;;0;;0;;0;;0;;0;;0
PSY2;2019;060780541;060000262;729;;;;;;;;;;;;;23939;;;;;;;;;;;;;;;;;;;;;0;;0;;0;;0;;;;0
PSY2;2019;060780749;060000395;408;;;;;;;;;;;;;13354;;;;;;;;;;;;;;;;;;;;;0;;0;;0;;0;;0;;0
PSY2;2019;060780996;630786754;1255;179;33;14;26;482;102;221;44;15;29;546;104;59267;14633;7051;393;514;26282;4546;23494;627;750;0;0;259;14;160465;7515;1533;93;186;2103;177;1;;1;56.63;1;28.85;1;33.53;1;26.9;0
