BOR;AN;FI;FI_EJ;LIT_MED;JLI_MED;SEJHC_MED;SEJ0_MED;JOU_MED;LIT_CHI;JLI_CHI;SEJHC_CHI;SEJ0_CHI;JOU_CHI;LIT_OBS;JLI_OBS;SEJHC_OBS;SEJ0_OBS;JOU_OBS;LIT_MCO;JLI_MCO;SEJHC_MCO;SEJ0_MCO;JOU_MCO;PLA_MED;SEJHP_MED;PLAN_MED;SEJN_MED;SEA_MED;PLA_CHI;SEJHP_CHI;PLA_OBS;SEJHP_OBS;PLAN_OBS;SEJN_OBS;PLA_MCO;SEJHP_MCO;PLAN_MCO;SEJN_MCO;SEA_MCO;PCAR;PDER;PEND;PGAS;PNEU;PPED;PPNE;PRHU;POPH;DEND;DNEU;DPED;DOPH;ACTCLI_PM;ACTCLI_SAG;ACTTEC_PM;ACTTEC_DEN;ACTTEC_SAG;ACTTEC_PNM
MCO;2019;010000024;010780054;271;97186;13820;903;86895;68;20880;3937;154;17803;43;15695;3903;860;12774;382;133761;21660;1917;117472;14;2227;;;40271;20;5132;4;0;;;38;7359;;;40271;1;1;1;1;1;1;1;1;1;180;210;65;;95934;6240;79860;1636;12636;10673
MCO;2019;010000032;010780062;66;24090;3964;482;19197;17;6205;956;39;4679;10;3650;606;134;1780;93;33945;5526;655;25656;4;81;;;1018;5;1242;;0;;;9;1323;;;1018;1;0;1;1;1;1;1;1;0;174;77;34;;17546;1215;17403;0;2269;3678
MCO;2019;010000065;010780096;59;21535;2341;17;19159;;;0;0;0;;;0;0;0;59;21535;2341;17;19159;;0;;;2;;0;;0;;;;0;;;2;;;1;;;;1;;;;;;;;;;;;
MCO;2019;010000099;010780120;9;3285;135;2;1828;;;0;0;0;;;0;0;0;9;3285;135;2;1828;;0;;;0;;0;;0;;;;0;;;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
MCO;2019;010000107;010780138;15;5475;164;2;1911;;;0;0;0;;;0;0;0;15;5475;164;2;1911;0;0;;;0;;0;;0;;;0;0;;;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
MCO;2019;010000115;010009132;12;4380;146;0;3102;;;0;0;0;;;0;0;0;12;4380;146;0;3102;;0;;;0;;0;;0;;;;0;;;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
MCO;2019;010000131;010009132;8;2920;191;0;2878;;;0;0;0;;;0;0;0;8;2920;191;0;2878;;0;;;0;;0;;0;;;;0;;;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
MCO;2019;010000180;010007987;8;2920;340;3;2841;;;0;0;0;;;0;0;0;8;2920;340;3;2841;;0;;;0;;0;;0;;;;0;;;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
MCO;2019;010000214;010007987;16;5840;338;2;4353;;;0;0;0;;;0;0;0;16;5840;338;2;4353;;0;;;0;;0;;0;;;;0;;;0;0;0;0;0;0;0;1;0;0;;;;;990;;;;;2169
MCO;2019;010005239;010008407;60;21900;4501;390;20925;21;7665;1223;66;5425;21;7665;925;153;2902;102;37230;6649;609;29252;7;816;;0;97;7;1492;1;75;;;15;2383;;0;97;1;0;1;1;1;1;1;1;1;270;330;40;120;21012;4851;27634;;4958;7202
