BOR;AN;FI;FI_EJ;SPED;UPED;LIT_PED;PLA_PED;SEJHP_PED;SEJHC_PED;JOU_PED;EFFPL_PM;EFFPL_PED;EFFPA_PM;EFFPA_PED;ETP_PM;ETP_PED;GAR_PM;GAR_PED;AST_PM;AST_PED;EFFPL_INFNS;EFFPL_PUE;EFFPL_AUX;EFFPL_KINE;EFFPL_PSY;EFFPL_APNM;EFFPA_INFNS;EFFPA_PUE;EFFPA_AUX;EFFPA_KINE;EFFPA_PSY;ETP_INFNS;EFFPA_APNM;ETP_PUE;ETP_AUX;ETP_KINE;ETP_PSY;ETP_APNM
MCOPED;2019;010000024;010780054;1;0;22;4;221;2005;4945;;;5;5;2.08;2.08;1;1;0;0;6;4;;;;5;4;13;10;;2;7.94;1;10.6;4.89;;1.23;5.28
MCOPED;2019;010000032;010780062;1;1;4;1;25;685;1227;1;1;;;1;1;0;0;1;1;2;;2;;;6;1;;;;;4.24;2;;1.53;;;6.81
MCOPED;2019;010005239;010008407;1;0;10;1;60;1018;2628;0;0;4;3;2.4;2.02;;;;;2;2;7;0;0;1;1;2;4;0;1;2.7;1;3.15;7.68;0;0.03;1.16
MCOPED;2019;020000162;020000063;1;1;20;4;250;2492;5448;1;1;6;6;5;5;1;1;;;11;8;16;0;2;12;2;7;5;0;2;12.71;9;10.76;19.49;0;2.66;16.79
MCOPED;2019;020000394;020000253;1;1;8;3;44;769;1787;1;1;5;5;1.43;1.43;1;1;0;0;10;1;2;0;1;4;2;0;1;0;0;10.43;0;0.83;3.19;0;1;4.51
MCOPED;2019;020000519;020000261;1;0;15;;0;1249;3265;4;4;4;4;6.5;6.5;1;1;0;0;7;1;2;;;;5;;3;;1;11;;1;4.3;;0.5;
MCOPED;2019;020001061;020004404;1;0;8;;108;711;1630;3;3;2;2;2.82;2.82;0;0;1;1;6;2;6;;;1;1;;;;;5.79;1;2;7.17;;;1.8
MCOPED;2019;030000061;030780092;1;1;15;2;289;973;2513;0;0;4;4;1.44;1.44;0;0;1;1;2;6;3;0;0;11;9;3;1;0;3;7.24;5;8.1;3.8;0;1.62;13.44
MCOPED;2019;030000079;030780100;1;1;34;;0;2242;4096;5;5;3;3;6.06;6.06;0;0;1;1;14;6;19;;1;13;;1;4;;;13.39;2;7.69;20.43;;1;13.91
MCOPED;2019;030000087;030780118;1;;22;;0;1751;4030;4;4;5;5;5.42;5.42;0;0;1;1;13;5;9;0;1;10;1;1;2;0;0;13.02;2;5.97;11.3;0;1;11.26
MCOPED;2019;040000093;040780215;1;0;8;1;0;947;1756;0;0;4;4;1.75;1.75;0;0;1;1;1;2;0;0;0;2;2;3;0;;0;1.93;7;4.56;0;0;0;7.05
MCOPED;2019;040000911;040788879;1;0;2;;0;45;104;;;2;2;1.04;1.04;0;0;1;1;3;;;;;;1;;;1;;2.3;;0.67;;0.05;;
MCOPED;2019;050000231;050000116;1;;6;;0;430;822;0;0;3;3;1;1;;;;;3;0;2;0;0;1;1;1;1;0;0;4.46;3;0.75;2.75;0;0;1.72
MCOPED;2019;050000348;050002948;1;;9;1;27;1173;3002;0;0;5;5;2.8;2.8;;;;;0;1;1;0;0;2;5;6;3;1;1;2.66;8;4.27;1.97;0.04;0.07;6.31
MCOPED;2019;060000478;060780897;1;;24;3;185;1306;2531;0;0;8;8;5.64;5.64;;;;;1;16;8;0;0;5;2;3;3;1;1;2.35;1;17.64;9.93;0.33;0.45;5.31
MCOPED;2019;060000510;060780954;1;1;22;1;134;1260;3871;2;2;9;9;5.04;5.04;0;0;1;1;4;9;8;0;0;11;3;4;6;0;0;5.88;2;11.48;11.9;0;0;11.41
MCOPED;2019;060000544;060780988;1;;8;0;1;503;1407;0;0;7;5;2.12;1.93;1;1;0;0;1;2;4;;;;2;4;8;1;1;4.62;9;5.43;11.34;0.3;0.2;6.35
MCOPED;2019;060780947;060800174;1;;103;20;4304;9755;26514;31;9;49;19;41.05;18.84;1;1;1;1;42;32;57;0;3;77;17;9;18;8;4;40.01;46;36.19;57.21;2.68;4.63;91.68
MCOPED;2019;060789195;060785011;1;;10;6;1822;454;2068;4;4;3;3;5.16;5.16;0;0;1;1;31;;;;;340;13;;;1;3;38.74;92;;;0.33;0.71;359.01
MCOPED;2019;070000179;070780358;1;0;15;0;0;1129;1763;34;3;8;1;24.95;1.54;0;0;0;0;13;0;10;4;1;81;17;1;9;1;0;23.82;64;1.21;14.59;4.3;0.1;112.1
MCOPED;2019;070000195;070780374;1;0;8;0;0;108;441;;;2;2;0.33;0.33;0;0;0;0;;;;;;;;;;;;;;;;;;
MCOPED;2019;070000609;070005566;1;0;10;;0;1049;1975;3;3;1;1;3.05;3.05;;;;;4;4;0;0;0;8;2;6;0;0;0;5.73;11;7.5;0;0;0;14.91
MCOPED;2019;080000110;080000037;1;;18;2;334;924;3473;;;3;3;2.35;2.35;0;0;1;1;7;1;2;;1;7;2;2;1;1;1;6.97;1;2.71;2.92;0.2;1.22;7.38
MCOPED;2019;080000425;080000615;1;;22;1;179;1478;4356;5;5;;;5;5;1;1;0;0;4;;6;;;8;3;4;7;;1;5.5;4;3.27;11.64;;0.05;8.61
MCOPED;2019;090000175;090781774;1;0;7;2;142;959;1725;5;5;2;2;2.08;2.08;1;1;;;2;7;;;;11;2;3;;;;5.73;1;9.23;;;;11.38
MCOPED;2019;100000090;100000017;1;1;31;4;803;1861;6896;0;0;6;6;3.75;3.75;0;0;1;1;13;6;5;0;0;13;0;1;3;0;2;13.12;5;5.8;7.38;0;1.5;15.56
MCOPED;2019;110000023;110780061;1;0;13;3;402;1329;2887;;;5;4;3.17;2;;;;;3;9;11;;;;;;;8;1;2.43;2;9.36;10.19;0.2;0.2;1.41
MCOPED;2019;110000056;110780137;1;1;16;0;0;1492;3572;4;4;2;2;4.15;4.15;0;0;1;1;8;2;0;;;5;1;3;0;;;8;1;3.05;0;;;5.79
