BOR;AN;FI;FI_EJ;AUTOR;LACTA;LIT_OBS;LIT_NEO_HSI;LIT_SIN;LIT_REA;SALTRAV;SEJ_OBS;SEJ0_Obs;SEJ_NEO_HSI;SEJ0_NEO_HSI;SEJ_SIN;SEJ0_SIN;SEJ_REA;SEJ0_REA;SEJ_BAM;SEJ0_BAM;JOU_OBS;JOU_NEO_HSI;JOU_SIN;JOU_REA;JOU_BAM;SEJACC;JOUACC;SEJCES;JOUCES;FSUIV;ACCUN;ACCMU;ENFTR;TRANSDES;ENFANTS;CONSGYN;CONSSAG;CONSENTR;SORPREC;MUTHAD;PRIS;IVG;IVGN_1;IVGME;IVG1214;CONV;IMG;AMP;PAT_AMP
PERINAT;2019;010000024;010780054;TYPE2;;31;9;6;;5;2655;293;310;21;191;11;0;0;1785;2;10366;2751;1486;0;6368;2022;9392;354;2289;18;1981;41;6;;2072;3706;9254;;34;0;1;550;525;414;38;;29;1;0
PERINAT;2019;010000032;010780062;TYPE1;;10;;;;2;501;47;0;0;0;0;0;0;340;0;1722;0;0;0;1275;350;1504;66;372;0;349;1;0;;352;1421;1566;51;7;0;1;88;91;66;2;0;1;0;0
PERINAT;2019;010005239;010008407;TYPE1;;21;;;;3;866;94;0;0;0;0;0;0;673;8;2896;0;0;0;2446;665;2702;134;717;0;659;6;8;;675;3867;7251;15;19;0;1;91;63;78;0;;0;0;0
PERINAT;2019;010780203;010010718;TYPE1;;15;;;;4;968;100;0;0;0;0;0;0;710;695;3403;0;0;0;50;716;3082;153;821;0;713;3;17;;722;;;;10;0;0;0;0;0;0;;1;0;0
PERINAT;2019;020000089;020000022;CPPR;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;0;0;;;0;;;;0;0;0
PERINAT;2019;020000162;020000063;TYPE2;;18;9;6;0;4;1598;108;348;23;346;30;0;0;982;0;6015;2397;1962;0;3345;1176;5121;240;1341;20;1158;18;11;0;1202;16924;2258;292;16;0;1;399;399;306;18;1;9;0;0
PERINAT;2019;020000394;020000253;TYPE2;;18;6;0;0;3;1177;95;213;8;49;7;0;0;682;0;4443;1428;291;0;2600;812;3892;181;1144;1;803;9;7;;843;4569;4547;;6;0;1;244;235;203;11;;5;0;0
PERINAT;2019;020000519;020000261;TYPE2;;18;6;4;;3;1561;172;245;18;72;7;0;0;851;0;5523;1611;670;0;3171;1002;4646;173;1080;2;990;12;2;;1023;22962;5279;;15;0;1;357;358;306;22;;4;0;0
PERINAT;2019;020000535;020000287;TYPE1;;16;;;;3;713;57;0;0;0;0;0;0;538;7;2564;0;0;0;2052;533;2281;109;588;0;528;5;7;;542;15758;941;371;15;0;1;248;225;151;10;;0;1;0
PERINAT;2019;020001061;020004404;TYPE2;;15;6;;;3;904;164;147;4;0;0;0;0;471;3;3078;802;0;0;1722;566;2595;132;711;0;562;4;5;;575;5794;2800;13;11;0;1;177;158;150;10;;4;0;0
PERINAT;2019;020001087;020004495;CPPR;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;783;1059;116;0;0;0;0;0;0;0;;0;0;0
PERINAT;2019;020010047;020001632;TYPE1;;17;;;;4;786;91;0;0;0;0;0;0;524;5;2877;0;0;0;2171;564;2606;157;842;0;562;2;4;;566;;;;2;0;0;0;0;0;0;;0;0;0
PERINAT;2019;030000061;030780092;TYPE2;;20;6;;;4;1229;73;174;14;0;0;0;0;825;1;4775;1254;0;0;3060;963;4390;197;1129;0;955;8;11;;978;7386;9022;547;27;0;1;199;175;132;5;1;10;0;0
PERINAT;2019;030000079;030780100;TYPE2;;24;6;2;0;3;1306;116;165;8;32;3;0;0;867;1;4481;1409;276;0;2819;971;3980;125;644;0;951;20;5;;1004;813;2134;;23;0;1;268;300;180;11;;1;0;0
