FI;FI_EJ;AN;LIT_MED;LIT_CHI;LIT_OBS;LIT_MCO;SEJHC_MED;SEJHC_CHI;SEJHC_OBS;SEJHC_MCO;JOU_MED;JOU_CHI;JOU_OBS;JOU_MCO;PLA_MED;PLA_CHI;PLA_OBS;PLA_MCO;SEJHP_MED;SEJHP_CHI;SEJHP_OBS;SEJHP_MCO;SEANCES_MED;SPED;UGER;CAP_COMPLET_GEN;CAP_COMPLET_INF;CAP_COMPLET_PEN;CAP_COMPLET_TOT;SEJ_HTP_GEN;SEJ_HTP_INF;SEJ_HTP_PEN;SEJ_HTP_TOT;CAP_HDJ_GEN;CAP_HDJ_INF;CAP_HDJ_PEN;CAP_HDJ_TOT;VEN_HDJ_GEN;VEN_HDJ_INF;VEN_HDJ_PEN;VEN_HDJ_TOT;CAP_HDN_GEN;CAP_HDN_INF;CAP_HDN_TOT;VEN_HDN_GEN;VEN_HDN_INF;VEN_HDN_TOT;NB_CATTP_GEN;NB_CATTP_INF;NB_CATTP_PEN;NB_CATTP_TOT;ACT_CATTP_GEN;ACT_CATTP_INF;ACT_CATTP_PEN;ACT_CATTP_TOT;NB_CMP_GEN;NB_CMP_INF;NB_CMP_TOT;ACT_CMP_GEN;ACT_CMP_INF;ACT_CMP_TOT;FIL_AMB_GEN;FIL_AMB_INF;FIL_AMB_PEN;FIL_AMB_TOT;FIL_TOT_GEN;FIL_TOT_INF;FIL_TOT_PEN;FIL_TOT_TOT;LIT_SSR;SEJHC_SSR;JOUHP_SSR;PLA_SSR;LIT_USLD;ENT;PLATOT_HAD;SEJ_HAD;AUTGEN;PASSU_GEN;AUTPED;PASSU_PED;GEN;PED;ANT;SAMU;REA;SEJ_REANIM;TYPE1;SEJACC;TYPE2;SEJ_NEO;TYPE3;SEJ_REA;TRT_HEMO_CENTRE;SEAN_HEMO_CENTRE;TRT_INSUFF_REN;SEM_TRT_INSUFF_REN;CHIMIO;SEAN_CHIMIO;RTH;SEAN_RADIO;CHIRCAR;CARDIO_INT;NEUROCHIR;NEURO_INT;GREFFE;AMP;PRIS;EFFSAL_SPEMED;EFFSAL_DT_MEDGEN;EFFSAL_DT_URG;EFFSAL_DT_ANESTREA;EFFSAL_SPECHI;EFFSAL_DT_GYNOBS;EFFSAL_PSY;EFFSAL_ODON;EFFSAL_PHARMA;EFFSAL_AUT;EFFSAL_TOT;EFF_INT;EFFLIB_SPEMED;EFFLIB_DT_MEDGEN;EFFLIB_DT_URG;EFFLIB_DT_ANESTREA;EFFLIB_SPECHI;EFFLIB_DT_GYNOBS;EFFLIB_PSY;EFFLIB_ODON;EFFLIB_PHARMA;EFFLIB_AUT;EFFLIB_TOT;ETPSAL_SPEMED;ETPSAL_DT_MEDGEN;ETPSAL_DT_URG;ETPSAL_DT_ANESTREA;ETPSAL_SPECHI;ETPSAL_DT_GYNOBS;ETPSAL_PSY;ETPSAL_ODON;ETPSAL_PHARMA;ETPSAL_AUT;ETPSAL_TOT;ETPINT;EFF_SAG;EFF_CAD;EFF_INFAVECSPE;EFF_INFSANSSPE;EFF_AID;EFF_ASH;EFF_PSYCHO;EFF_REEDU;EFF_SOINS;EFF_DIR;EFF_DIRSOI;EFF_AUTADM;EFF_EDU;EFF_DTSOC;EFF_PERSPHARMA;EFF_PERSLABO;EFF_PERSRADIO;EFF_AUTMEDTEC;EFF_TEC;EFF_TOT_HORS_SOINS;EFF_TOT_PNM;ETP_SAG;ETP_CAD;ETP_INFAVECSPE;ETP_INFSANSSPE;ETP_AID;ETP_ASH;ETP_PSYCHO;ETP_REEDU;ETP_SOINS;ETP_DIR;ETP_DIRSOI;ETP_AUTADM;ETP_EDU;ETP_DTSOC;ETP_PERSPHARMA;ETP_PERSLABO;ETP_PERSRADIO;ETP_AUTMEDTEC;ETP_TEC;ETP_TOT_HORS_SOINS;ETP_TOT_PNM;NB_SCAN;ACT_SCAN;NB_IRM;ACT_IRM;NB_CAM;ACT_CAM;NB_TOMO;ACT_TOMO;SAL_INTERV;POST_REVEIL;BOR
010000024;010780054;2023;246;68;40;354;11287;3639;3533;18459;79578;17963;10440;107981;22;20;4;46;3590;3498;588;7676;39459;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;28;401;3293;13;60;51;45;575;1;38394;0;0;1;0;0;1;1;1820;0;1841;1;288;0;0;1;10753;1;0;1;10846;1;17790;1;1;0;0;0;1;1;152;28;22;24;38;12;0;2;19;3;214;75;3;0;3;0;8;5;0;0;0;0;11;123.96;21.11;17.62;21.19;32.22;9.78;0;1.6;17.02;1.4;176.2;57.67;42;30;89;483;417;112;18;38;1229;5;2;283;19;8;36;37;37;3;271;693;1922;34.94;29.92;82.3;440.96;394.56;111.61;11.3;32.25;1137.84;6.22;1.4;256.42;11.2;7.26;33.76;33.42;32.74;2.78;253.9;631.84;1769.68;2;1;3;0;0;0;0;0;11;19;SYGEN
010000032;010780062;2023;56;19;8;83;3301;884;418;4603;19584;3994;1388;24966;8;8;1;17;124;1613;85;1822;804;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;40;420;2323;8;;;;;1;13853;0;0;1;0;0;0;1;813;1;330;0;0;0;0;;;;;1;804;0;0;0;0;0;0;0;0;1;24;9;7;1;9;2;0;0;3;0;36;4;0;0;0;0;0;0;0;0;0;0;0;20.09;8.3;7.09;0.22;8.04;1.04;0;0;2.61;0;30.74;4.33;15;8;6;92;80;46;6;11;264;2;0;64;2;2;9;9;8;1;43;138;402;11.02;8.83;5.24;87.96;76.8;43.03;2.86;9.07;244.81;1.8;0;55.06;1.44;1.44;6.4;9.2;9.28;0.17;30.3;113.65;358.46;1;1;0;0;0;0;0;0;4;6;SYGEN
010000065;010780096;2023;59;;;59;2031;0;0;2031;18624;0;0;18624;;;;;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;80;803;0;0;;;;;;;;;;;;;0;;0;0;0;0;0;0;;;;;0;;0;;0;0;0;0;0;0;1;25;14;0;0;0;0;0;0;2;0;27;4;0;0;0;0;0;0;0;0;0;0;0;16.71;11;0;0;0;0;0;0;1.8;0;18.51;3.12;0;9;0;70;95;8;5;17;204;1;0;31;6;4;7;0;3;0;13;61;265;0;8.5;0;62.48;87.05;7.9;4.16;12;182.09;0.6;0;21.93;4.28;3.86;2.79;0;0.72;0;7.04;37.36;219.45;;;;;;;;;;;SYGEN
010000099;010780120;2023;10;;;10;158;0;0;158;2471;0;0;2471;;;;;0;0;0;0;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;20;267;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;0;0;0;0;0;0;0;1;1;4;;0;0;0;0;0;0;0;0;0;0;0;1.12;0;0;0;0;0;0;0;0.8;0.15;2.07;0;0;1;0;10;18;4;1;5;39;2;0;9;2;1;2;0;0;1;15;31;70;0;1;0;7.74;16.7;4.73;0.7;1.67;32.54;0.9;0;4.08;0.7;0.22;1.2;0;0;1;4.59;12.47;45.01;;;;;;;;;;;SYGEN
010000107;010780138;2023;5;;;5;76;0;0;76;1002;0;0;1002;;;;;0;0;0;0;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;17;193;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3;0;0;0;0;0;0;0;1;0;4;;0;0;0;0;0;0;0;0;0;0;0;2.6;0;0;0;0;0;0;0;0.38;0;2.98;0;0;1;0;7;11;4;1;4;28;1;0;10;0;0;2;0;0;0;16;29;57;0;0.51;0;7.9;10.61;4.21;0.24;1.53;25;0.17;0;2.78;0.13;0.13;0.3;0;0;0;3.14;6.52;31.52;;;;;;;;;;;SYGEN
010000115;010009132;2023;12;;;12;110;0;0;110;2864;0;0;2864;;;;;0;0;0;0;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;18;159;0;0;30;31;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4;3;0;0;0;0;0;0;1;0;5;;0;0;0;0;0;0;0;0;0;0;0;2.65;1.65;0;0;0;0;0;0;0.51;0;3.16;0;0;2;0;15;27;25;1;7;77;2;1;10;2;1;3;0;0;0;18;36;113;0;1.6;0;12.75;23.19;23.7;0.43;3.86;65.53;0.52;0.26;5.24;0.71;0.61;2.03;0;0;0;15.02;23.78;89.31;;;;;;;;;;;SYGEN
010000131;010009132;2023;8;0;0;8;128;0;0;128;2382;0;0;2382;0;0;0;0;0;0;0;0;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;29;265;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;0;0;0;0;0;0;0;4;0;6;;0;0;0;0;0;0;0;0;0;0;0;1.65;0.25;0;0;0;0;0;0;1.11;0;2.76;0;0;1;0;16;15;16;1;5;54;2;1;10;3;2;1;0;0;0;13;30;84;0;1;0;12.85;12.01;14.48;0.4;2.08;42.82;0.6;0.3;4.6;0.92;0.67;0.5;0;0;0;8.35;15.27;58.09;;;;;;;;;;;SYGEN
010000180;010007987;2023;6;;;6;264;0;0;264;2297;0;0;2297;;;;;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;25;370;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;2;0;0;0;0;0;0;1;0;3;;0;0;0;0;0;0;0;0;0;0;0;1.6;1.6;0;0;0;0;0;0;0.35;0;1.95;0;0;1;0;5;5;8;3;3;25;1;0;2;1;1;0;0;0;0;1;5;30;0;1;0;4.9;5;7.85;3;2.2;23.95;0.1;0;2;0.8;0.8;0;0;0;0;0.7;3.6;27.55;;;;;;;;;;;SYGEN
010000214;010007987;2023;16;;;16;305;0;0;305;4340;0;0;4340;;;;;0;0;0;0;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;101;796;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;10;7;0;0;0;0;0;0;2;2;14;;0;0;0;0;0;0;0;0;0;0;0;7;4.8;0;0;0;0;0;0;2;0.4;9.4;0;0;13;1;67;90;71;6;20;268;1;0;34;3;3;6;0;3;0;32;79;347;0;12.85;1;65.29;88.81;70.85;5.6;18.8;263.2;0.7;0;31.96;2.9;2.9;5.85;0;2.68;0;31.91;76;339.2;;;;;;;;;;;SYGEN
010005239;010008407;2023;52;20;17;89;4243;1071;798;6112;20932;4773;2322;28027;7;8;1;16;1395;1572;89;3056;136;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;28;322;0;0;;;;;1;22146;0;0;1;0;0;0;1;517;1;531;0;0;0;0;;;;;1;136;0;0;0;0;0;0;0;0;1;50;25;0;12;17;4;0;0;3;2;72;4;0;0;0;0;0;0;0;0;0;0;0;33.85;18.63;0.02;6.85;12.42;3.53;0;0;2.75;0.87;49.89;0.5;21;6;19;115;137;21;3;6;328;3;1;75;2;1;13;8;6;2;60;170;498;17.82;5.1;17.79;103.95;124.61;21.88;1.81;4.25;297.21;3;0.85;68.49;1.82;1;11.81;8.11;6.07;0.73;58.06;158.94;456.15;1;0;1;0;0;0;0;0;7;8;SYGEN
