FI;FI_EJ;AN;LIT_MED;LIT_CHI;LIT_OBS;LIT_MCO;SEJHC_MED;SEJHC_CHI;SEJHC_OBS;SEJHC_MCO;JOU_MED;JOU_CHI;JOU_OBS;JOU_MCO;PLA_MED;PLA_CHI;PLA_OBS;PLA_MCO;SEJHP_MED;SEJHP_CHI;SEJHP_OBS;SEJHP_MCO;SEANCES_MED;SPED;UGER;CAP_COMPLET_GEN;CAP_COMPLET_INF;CAP_COMPLET_PEN;CAP_COMPLET_TOT;SEJ_HTP_GEN;SEJ_HTP_INF;SEJ_HTP_PEN;SEJ_HTP_TOT;CAP_HDJ_GEN;CAP_HDJ_INF;CAP_HDJ_PEN;CAP_HDJ_TOT;VEN_HDJ_GEN;VEN_HDJ_INF;VEN_HDJ_PEN;VEN_HDJ_TOT;CAP_HDN_GEN;CAP_HDN_INF;CAP_HDN_TOT;VEN_HDN_GEN;VEN_HDN_INF;VEN_HDN_TOT;NB_CATTP_GEN;NB_CATTP_INF;NB_CATTP_PEN;NB_CATTP_TOT;ACT_CATTP_GEN;ACT_CATTP_INF;ACT_CATTP_PEN;ACT_CATTP_TOT;NB_CMP_GEN;NB_CMP_INF;NB_CMP_TOT;ACT_CMP_GEN;ACT_CMP_INF;ACT_CMP_TOT;FIL_AMB_GEN;FIL_AMB_INF;FIL_AMB_PEN;FIL_AMB_TOT;FIL_TOT_GEN;FIL_TOT_INF;FIL_TOT_PEN;FIL_TOT_TOT;LIT_SSR;SEJHC_SSR;JOUHP_SSR;PLA_SSR;LIT_USLD;ENT;PLATOT_HAD;SEJ_HAD;AUTGEN;PASSU_GEN;AUTPED;PASSU_PED;GEN;PED;ANT;SAMU;REA;SEJ_REANIM;TYPE1;SEJACC;TYPE2;SEJ_NEO;TYPE3;SEJ_REA;TRT_HEMO_CENTRE;SEAN_HEMO_CENTRE;TRT_INSUFF_REN;SEM_TRT_INSUFF_REN;CHIMIO;SEAN_CHIMIO;RTH;SEAN_RADIO;CHIRCAR;CARDIO_INT;NEUROCHIR;NEURO_INT;GREFFE;AMP;PRIS;EFFSAL_SPEMED;EFFSAL_DT_MEDGEN;EFFSAL_DT_URG;EFFSAL_DT_ANESTREA;EFFSAL_SPECHI;EFFSAL_DT_GYNOBS;EFFSAL_PSY;EFFSAL_ODON;EFFSAL_PHARMA;EFFSAL_AUT;EFFSAL_TOT;EFF_INT;EFFLIB_SPEMED;EFFLIB_DT_MEDGEN;EFFLIB_DT_URG;EFFLIB_DT_ANESTREA;EFFLIB_SPECHI;EFFLIB_DT_GYNOBS;EFFLIB_PSY;EFFLIB_ODON;EFFLIB_PHARMA;EFFLIB_AUT;EFFLIB_TOT;ETPSAL_SPEMED;ETPSAL_DT_MEDGEN;ETPSAL_DT_URG;ETPSAL_DT_ANESTREA;ETPSAL_SPECHI;ETPSAL_DT_GYNOBS;ETPSAL_PSY;ETPSAL_ODON;ETPSAL_PHARMA;ETPSAL_AUT;ETPSAL_TOT;ETPINT;EFF_SAG;EFF_CAD;EFF_INFAVECSPE;EFF_INFSANSSPE;EFF_AID;EFF_ASH;EFF_PSYCHO;EFF_REEDU;EFF_SOINS;EFF_DIR;EFF_DIRSOI;EFF_AUTADM;EFF_EDU;EFF_DTSOC;EFF_PERSPHARMA;EFF_PERSLABO;EFF_PERSRADIO;EFF_AUTMEDTEC;EFF_TEC;EFF_TOT_HORS_SOINS;EFF_TOT_PNM;ETP_SAG;ETP_CAD;ETP_INFAVECSPE;ETP_INFSANSSPE;ETP_AID;ETP_ASH;ETP_PSYCHO;ETP_REEDU;ETP_SOINS;ETP_DIR;ETP_DIRSOI;ETP_AUTADM;ETP_EDU;ETP_DTSOC;ETP_PERSPHARMA;ETP_PERSLABO;ETP_PERSRADIO;ETP_AUTMEDTEC;ETP_TEC;ETP_TOT_HORS_SOINS;ETP_TOT_PNM;NB_SCAN;ACT_SCAN;NB_IRM;ACT_IRM;NB_CAM;ACT_CAM;NB_TOMO;ACT_TOMO;SAL_INTERV;POST_REVEIL
010000099;010780120;2023;10;;;10;158;0;0;158;2471;0;0;2471;;;;;0;0;0;0;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;20;267;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;0;0;0;0;0;0;0;1;1;4;;0;0;0;0;0;0;0;0;0;0;0;1.12;0;0;0;0;0;0;0;0.8;0.15;2.07;0;0;1;0;10;18;4;1;5;39;2;0;9;2;1;2;0;0;1;15;31;70;0;1;0;7.74;16.7;4.73;0.7;1.67;32.54;0.9;0;4.08;0.7;0.22;1.2;0;0;1;4.59;12.47;45.01;;;;;;;;;;
010000107;010780138;2023;5;;;5;76;0;0;76;1002;0;0;1002;;;;;0;0;0;0;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;17;193;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3;0;0;0;0;0;0;0;1;0;4;;0;0;0;0;0;0;0;0;0;0;0;2.6;0;0;0;0;0;0;0;0.38;0;2.98;0;0;1;0;7;11;4;1;4;28;1;0;10;0;0;2;0;0;0;16;29;57;0;0.51;0;7.9;10.61;4.21;0.24;1.53;25;0.17;0;2.78;0.13;0.13;0.3;0;0;0;3.14;6.52;31.52;;;;;;;;;;
010000115;010009132;2023;12;;;12;110;0;0;110;2864;0;0;2864;;;;;0;0;0;0;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;18;159;0;0;30;31;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4;3;0;0;0;0;0;0;1;0;5;;0;0;0;0;0;0;0;0;0;0;0;2.65;1.65;0;0;0;0;0;0;0.51;0;3.16;0;0;2;0;15;27;25;1;7;77;2;1;10;2;1;3;0;0;0;18;36;113;0;1.6;0;12.75;23.19;23.7;0.43;3.86;65.53;0.52;0.26;5.24;0.71;0.61;2.03;0;0;0;15.02;23.78;89.31;;;;;;;;;;
010000131;010009132;2023;8;0;0;8;128;0;0;128;2382;0;0;2382;0;0;0;0;0;0;0;0;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;29;265;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;0;0;0;0;0;0;0;4;0;6;;0;0;0;0;0;0;0;0;0;0;0;1.65;0.25;0;0;0;0;0;0;1.11;0;2.76;0;0;1;0;16;15;16;1;5;54;2;1;10;3;2;1;0;0;0;13;30;84;0;1;0;12.85;12.01;14.48;0.4;2.08;42.82;0.6;0.3;4.6;0.92;0.67;0.5;0;0;0;8.35;15.27;58.09;;;;;;;;;;
020000089;020000022;2023;28;0;0;28;931;0;0;931;8458;0;0;8458;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;42;465;0;0;30;11;30;274;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;10;6;0;0;0;0;0;0;2;2;14;2;0;0;0;0;0;0;0;0;0;0;0;3.9;3;0;0;0;0;0;0;1.6;0.2;5.7;2;0;6;0;46;86;36;1;3;178;0;0;21;3;3;5;0;2;0;24;55;233;0;5.5;0;45.11;83.1;34.41;0.7;2.7;171.52;0;0;20.03;2.46;2.46;4.71;0;1.86;0;24;53.06;224.58;;;;;;;;;;
020000097;020000048;2023;38;;;38;670;0;0;670;9789;0;0;9789;;;;;0;0;0;0;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;31;301;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5;3;0;0;0;0;1;0;1;1;8;;0;0;0;0;0;0;0;0;0;0;0;4.5;3;0;0;0;0;1;0;1.08;0.4;6.98;0;0;1;0;23;47;15;2;3;91;0;0;20;2;1;2;0;0;0;17;41;132;0;1;0;23.09;46.24;14.05;2;2.06;88.44;0;0.69;19.86;2;1;1.86;0;0;0;16.83;41.24;129.68;;;;;;;;;;
020000105;020000055;2023;15;;;15;428;0;0;428;4479;0;0;4479;;;;;0;0;0;0;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;15;254;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6;3;0;0;0;0;0;0;0;1;7;;1;0;0;0;0;0;0;0;1;3;5;2.01;1.68;0;0;0;0;0;0;0;0.12;2.13;0;0;1;0;12;16;10;1;3;43;1;0;8;1;1;0;0;0;0;19;29;72;0;0.86;0;9.8;13.75;7.51;0.3;0.76;32.98;1;0;8;0.32;0.32;0;0;0;0;17.14;26.46;59.44;;;;;;;;;;
020000246;020000071;2023;27;;;27;415;0;0;415;6223;0;0;6223;;;;;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;27;242;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4;4;0;0;0;0;0;0;0;0;4;;0;0;0;0;0;0;0;0;0;0;0;2.1;2.1;0;0;0;0;0;0;0;0;2.1;0;0;2;0;23;33;12;2;4;76;0;0;8;1;0;0;0;0;0;18;27;103;0;1.5;0;19.28;29.71;11.36;1;2.15;65;0;0;7.5;0.9;0;0;0;0;0;18;26.4;91.4;;;;;;;;;;
020001087;020004495;2023;60;;;60;3548;0;0;3548;11076;0;0;11076;4;;;4;186;0;0;186;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;30;224;0;0;;;;;1;14631;0;0;1;0;0;0;0;;;;;;;;;;;;0;;0;;0;0;0;0;0;;;28;2;9;2;2;2;1;0;1;1;33;;0;0;0;0;0;0;0;0;0;0;0;21.83;2.27;8.69;2;0.38;0.38;0.8;0;1;0.5;24.51;0;0;5;0;48;49;17;1;3;123;1;0;38;3;2;4;3;7;1;33;90;213;0;5;0;48.81;49.75;16.59;1.03;2.54;123.72;0.63;0;34.99;1.98;1.48;4;3;6.04;1;30.78;82.42;206.14;1;0;0;0;0;0;0;0;;
030000095;030780126;2023;8;;;8;119;0;0;119;1391;0;0;1391;;;;;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;40;462;50;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3;2;0;0;0;0;0;0;1;0;4;;0;0;0;0;0;0;0;0;0;0;0;1.21;1.11;0;0;0;0;0;0;1;0;2.21;0;0;2;0;10;12;18;0;5;47;0;0;19;2;1;4;0;0;0;25;50;97;0;1.5;0;10.25;11.46;16.98;0;2.75;42.94;0;0;16.3;1.8;0.8;3.4;0;0;0;25;46.5;89.44;;;;;;;;;;
